,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
44,365500,"1265,00$","198,00$","140,00$",,St-Nicolas,Québec Rive-Sud (Lévis),"816, rue de Vimy",4,1,1,2,1440.0,6000.0
45,950000,"5845,00$","600,00$",,"1588,00$",St-Jérôme (St-Jérôme),Laurentides,"62, rue Brière",4,2,,,,6448.0
46,389500,,,,,Shawinigan (Shawinigan-Sud),Mauricie,"3640, avenue Jaques-Dolbec",5,2,,1,1230.0,6889.4438
47,445000,"3300,00$","208,00$","2830,00$","1190,00$",Victoriaville,Centre-du-Québec,"52, rue Elphège",4,1,2,2,1792.0,5715.0
48,329000,"1846,00$","118,00$","510,00$","492,00$",Bromont,Estrie,"202-128, boulevard de Bromont",1,1,,1,600.0,1.0
49,369000,"1642,00$","148,20$","1200,00$","400,00$",Sorel-Tracy,Montérégie (Rive-Sud Montréal),"3325, rue Cournoyer",4,1,2,1,850.46,3742.61
50,1250000,,,,,Ste-Adèle,Laurentides,"6572, chemin du Lac Pilon",,,,,,2787840.01
52,329999,,,,,St-Marc-Du-Lac-Long,Bas-Saint-Laurent,"x, route 289",,,,,,1140296.38
53,485000,"2500,00$","150,00$","1500,00$",,St-David-de-Falardeau,Saguenay-Lac-Saint-Jean,"191, rue de Méribel",3,1,,2,1400.0,1808.0
54,460000,"2904,00$","250,00$",,,St-Cesaire,Montérégie (Rive-Sud Montréal),"1835, Carré-Royer",4,2,,1,1140.97,6542.3
55,245000,"1734,00$","66,00$","1127,00$",,Val-des-Sources,Estrie,"118, 21e Avenue",1,1,1,1,840.0,11500.0
56,550000,"3307,22$","251,80$","1040,00$","1050,00$",Gatineau (Gatineau),Outaouais,"920, avenue du Cheval-Blanc",4,1,1,2,1400.0,4564.97
57,177000,"1789,24$","97,96$","700,00$","700,00$",Waterville,Estrie,"425, rue Principale Sud",2,1,,1,768.0,768.0
58,559000,"2391,96$","240,13$",,"1086,29$",Ste-Marthe-Sur-Le-Lac,Laurentides,"35, 36e Avenue",3,2,,1,856.0,5044.0
59,250000,,,,,Entrelacs,Lanaudière,", route 125",,,,,,363247.0
60,600000,"3296,00$","267,40$",,,Sherbrooke (Rock Forest),Estrie,"679, rue Charlevoix",4,2,1,2,1536.0,5617.68
61,405000,"3044,90$","277,00$","1728,00$",,Charlesbourg,Québec Rive-Nord,"2649, rue des Tours",4,1,1,1,1280.0,6175.0
62,697000,"3445,72$","463,54$",,"966,00$",Contrecoeur,Montérégie (Rive-Sud Montréal),"8440, route Marie-Victorin",4,2,,1,1176.0,25190.0
64,562000,"2453,42$","284,26$","361,47$","423,84$",Griffintown,Montréal / l'Île,"604-1606, rue Ottawa",2,1,,1,837.0,305.0
65,539000,"2991,38$","265,11$","1900,00$","1000,00$",Terrebonne (Lachenaie),Lanaudière,"4529, rue des Ancêtres",4,2,,1,960.0,4500.0
66,548000,"2865,00$","255,00$","2000,00$",,Lac-St-Charles,Québec Rive-Nord,"1796, chemin de la Passe",3,2,,2,1047.33,29341.176
67,535000,"2822,00$","298,00$","2400,00$",,St-Eustache,Laurentides,"261, rue Hugo",4,2,,1,988.0,6500.0
68,675000,"5357,27$","334,47$","2083,00$","1296,01$",Trois-Rivières (Cap-De-La-Madeleine),Mauricie,"175, rue L.-P.-Brodeur",5,2,1,1,2020.0,11160.0
69,225000,"1398,56$",,,,St-Côme,Lanaudière,"x, 24e Avenue",,,,,,23026.0
70,489999,"3781,00$","294,00$","900,00$","503,00$",Gatineau (Gatineau),Outaouais,"102-517, rue de Cannes",3,2,,1,1478.0,
71,510000,"3652,57$","358,21$","2331,87$","1556,04$",Lévis,Québec Rive-Sud (Lévis),"95, rue Philippe-Poulin",5,2,,2,1237.85,8361.0
72,334900,"2275,79$","202,10$","585,89$",,Repentigny (Repentigny),Lanaudière,"4-808C, rue Notre-Dame",2,1,1,1,1117.0,
73,734000,"3546,00$",,"190,00$",,L'Ange-Gardien-Outaouais,Outaouais,"10, chemin du Grenat",3,3,,2,2440.0,50558.09
74,1499999,"7479,52$","920,60$","2744,97$",,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,"3445, avenue Montclair",4,3,1,2,1800.0,4680.0
76,460000,"3845,00$","235,00$","3400,00$","1100,00$",L'Assomption,Lanaudière,"A-B-160, rue Cazeneuve",3,1,,1,1210.0,5000.0
77,179000,"500,97$","33,00$",,,Cantley,Outaouais,"44, rue du Versant",,,,,,87000.0
78,835225,,,,,St-Colomban,Laurentides,"555, rue Adèle-Berthelot - Le Monaco Garage double - Par Habitation Cousineau",3,1,1,2,1869.0,28600.0
79,274900,"2331,68$","194,56$","1349,34$","1217,14$",Beauport,Québec Rive-Nord,"550, rue Miray",2,1,1,1,959.28,3999.87
80,743900,,,,,St-Colomban,Laurentides,"549, rue Adèle-Berthelot - Barcelone - Par Habitation Cousineau",3,1,1,2,2058.0,32123.0
81,269000,"1733,57$","131,04$","1400,00$","1200,00$",St-Jean-De-Matha,Lanaudière,"51, avenue du Parc",2,1,,1,1052.0,11456.03
82,1575000,,,,,St-Mathieu-De-Beloeil,Montérégie (Rive-Sud Montréal),"208, montée du Deuxième-Ruisseau",3,,,,,2831400.01
83,249000,"1100,00$","87,03$","674,32$",,ND-Du-Bon-Conseil,Centre-du-Québec,"731, rue Notre-Dame",3,2,,2,1566.0,8016.0
84,845000,"4713,00$","460,00$",,"1253,00$",La Prairie,Montérégie (Rive-Sud Montréal),"345-365, rue Beauchemin",8,3,,,,7614.0
85,779000,"4782,00$","465,00$","3200,00$",,St-Nicolas,Québec Rive-Sud (Lévis),"205, rue de l'Affluent",6,3,1,2,1384.0,13325.0
86,624000,"4212,45$","399,40$","4032,36$","1432,26$",Ile d'Orléans (St-Pierre),Québec Rive-Nord,"1066, rue des Gardenias",5,2,1,2,1861.0,21200.0
88,932500,"5194,55$","597,58$",,,Rivière des Prairies,Montréal / l'Île,"7798, boulevard Gouin Est",3,2,1,3,1660.0,2263.0
89,576900,"3144,85$","305,27$","1444,00$",,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"4312, rue des Montgolfières",3,1,,1,1433.0,
90,251573,,,,,Ste-Marthe-Sur-Le-Lac,Laurentides,"., Rue Lambert-Binette - Par Construction Briand",2,1,,1,960.0,
91,239000,"2449,98$","107,42$",,,Canton-de-Hatley,Estrie,"X, rue des Méandres",,,,,,85842.0
92,280000,"2297,95$","196,61$","731,35$","237,62$",Ste-Foy,Québec Rive-Nord,"615-999, rue Beauregard",2,1,,1,900.0,
93,280000,"2800,00$","138,00$",,,Trois-Rivières (Trois-Rivières),Mauricie,"700, Rue Gilles Lupien- Par Construction D.M. Turcotte",2,1,1,2,1260.0,
94,185000,,,,,St-André-Du-Lac-St-Jean,Saguenay-Lac-Saint-Jean,"89, chemin des Lapointe",2,1,,2,,120000.0
95,500000,,,,,Rimouski (Rimouski),Bas-Saint-Laurent,rue du Père Joseph-Jean,,,,,,1020231.42
96,749000,"4193,01$","397,18$","2994,00$","924,00$",St-Hyacinthe (Douville),Montérégie (Rive-Sud Montréal),"2040, rue Jean-Noel Dion",3,2,1,3,1159.0,5166.68
97,389000,"1674,79$","223,33$","607,08$","610,32$",Boucherville,Montérégie (Rive-Sud Montréal),"7-718, rue des Sureaux",2,1,,1,866.0,
98,470000,"3311,60$","309,88$","2649,82$",,Val-Bélair,Québec Rive-Nord,"1208, rue de l'Etna",4,1,1,2,1356.0,6695.15
100,357500,"2976,24$","206,56$","2856,00$",,Rimouski (Rimouski),Bas-Saint-Laurent,"215, rue Merisiers",2,2,,1,1200.0,9899.57
101,1109900,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"809-360, rue Atateken - Le Solano Phase 8",2,2,,1,,
102,553000,,,,,Boischatel,Québec Rive-Nord,rue de l'Escalade - Par Construction Unik,3,1,1,2,,6673.0
103,468711,,,,,Chomedey,Laval,Le Market - unité 606,2,1,,1,989.0,
104,550000,"3268,00$","348,00$",,,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"990-992, rue Marquette",5,2,,1,2108.0,5000.0
105,575000,"2886,00$","324,00$","2312,00$","605,00$",Laval-des-Rapides,Laval,"327, avenue Quintal",4,1,1,1,1022.0,6835.0
106,410000,"2770,00$","225,00$",,,Ste-Adèle,Laurentides,"1580, rue du Sommet",3,2,,2,2240.0,16116.0
107,469900,"2999,09$","309,93$",,,Repentigny (Repentigny),Lanaudière,"206-434, rue Notre-Dame",2,1,1,1,1080.0,
108,372000,"2675,78$","211,96$","1500,00$",,Lavaltrie,Lanaudière,"40, rue Rose",3,2,,2,1035.0,5952.0
109,405000,"2238,00$","265,00$","1896,60$","756,00$",Cap-Rouge,Québec Rive-Nord,"4376, rue des Guérêts",3,2,1,2,1408.0,4913.73
110,295000,"2906,00$","199,00$","3500,00$",,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"3852, rue de Belfort",3,3,1,1,1056.0,7500.0
112,475000,"5752,40$","851,54$",,,La Malbaie (Pointe-Au-Pic),Charlevoix,"6, rue Desbiens",3,3,1,1,1430.0,34600.0
113,1199000,"5149,00$","531,00$",,,Cantley,Outaouais,"23, impasse de la Chatelaine",4,2,1,2,2300.0,52741.0
114,179000,"1644,24$","137,22$","880,00$",,Limoilou,Québec Rive-Nord,"2-2300, avenue de Vitré",3,1,1,1,1100.0,
115,849000,"6587,78$","509,44$","905,20$",,Gatineau (Hull),Outaouais,"11, rue de l'Embellie",5,2,2,2,2200.0,7158.0
116,290000,"1822,50$","166,04$","2000,00$","1700,00$",Drummondville (St-Nicéphore),Centre-du-Québec,"200, rue Gamma",3,2,1,1,864.0,17500.0
117,1995000,,,,,St-Donat,Lanaudière,"., chemin Ouareau Nord - Par Invesco Habitation",,,,,,225800.0
118,749000,"3734,00$","455,00$","977,00$","578,00$",Villeray / St-Michel / Parc-Extension,Montréal / l'Île,"302-7215, rue Marconi",2,2,,2,1160.0,
119,599900,"3994,00$","452,00$","2335,00$",,Sherbrooke (St-Élie-d'Orford),Estrie,"944-946, rue Leonardo-Da Vinci",3,2,1,2,,32603.88
120,599500,"2836,38$","439,52$",,"700,57$",Ste-Julie,Montérégie (Rive-Sud Montréal),"412-1935, chemin du Fer à Cheval",2,2,,1,1245.38,
121,875000,"5791,00$","607,78$","1750,00$","800,00$",Montcalm,Québec Rive-Nord,"234-16, rue des Jardins-Merici",2,2,,1,1722.0,
122,299900,"2060,00$","148,00$","1800,00$","600,00$",Gatineau (Buckingham),Outaouais,"534, rue Matte",4,1,1,2,1150.0,3003.13
124,775000,,,,,Magog,Estrie,"3-346, rue des Fleurons",5,2,2,2,,6000.0
125,210000,"1317,00$","75,00$","1200,00$","360,00$",Gatineau (Aylmer),Outaouais,"303-75, rue Pearson",2,1,,1,735.0,1389.62
126,752400,,,,,Chateauguay,Montérégie (Rive-Sud Montréal),"36, rue Marc-Laplante E- Par Danolo Construction",4,2,1,2,,5742.0
127,535000,"1416,08$","173,04$",,,Rosemont / La Petite Patrie,Montréal / l'Île,"6667, rue de Saint-Vallier",2,1,,1,900.0,
128,469000,"2264,34$","184,74$","2220,00$",,St-Jérôme (Lafontaine),Laurentides,"2197, boulevard Lafontaine",4,2,,1,980.0,6599.0
129,559000,"3637,37$","323,00$","2160,00$","1320,00$",Mascouche,Lanaudière,"333, croissant de Bourguignon",4,2,1,2,1420.0,3423.0
130,259900,"1451,82$","17,67$","1200,00$","360,00$",Gatineau (Aylmer),Outaouais,"301-90, chemin Eardley",3,1,,1,925.0,163.2
131,219900,"1317,00$","75,00$","1200,00$","600,00$",Gatineau (Aylmer),Outaouais,"402-88, rue Front",2,1,,1,734.0,1389.62
132,364500,"1098,00$","167,00$","250,00$","250,00$",Brossard,Montérégie (Rive-Sud Montréal),"202-9175, rue Lennon",1,1,1,1,560.0,
133,849000,"4633,64$","404,38$","1881,21$","866,52$",Beloeil,Montérégie (Rive-Sud Montréal),"453, boulevard Yvon-L'Heureux Nord",4,2,,1,1308.0,11679.0
134,425000,"2237,00$","219,23$","60,00$",,Fabreville,Laval,"22-4497, boulevard Dagenais Ouest",3,1,1,1,1288.0,
136,230000,,,,,Les Éboulements,Charlevoix,"449, chemin Catherine-Delzenne",,,,,,35000.0
137,410000,"2659,83$","300,00$","1512,24$",,Limoilou,Québec Rive-Nord,"9-1100, rue Cadillac",3,1,,1,1040.0,
138,249000,"2119,00$","178,13$","763,56$",,Beauport,Québec Rive-Nord,"413-2400, avenue de Lisieux",1,1,,4,776.0,
139,999000,,,,,La Pêche (Duclos),Outaouais,"859, chemin Parent",4,2,1,2,1800.0,14374800.04
140,365000,"2947,71$","197,61$","2085,00$","3928,00$",Métabetchouan-Lac-à-la-Croix,Saguenay-Lac-Saint-Jean,"1274, rang Sainte-Anne",3,2,,2,2132.01,53819.55
141,455000,,,"1850,00$","1300,00$",St-Félicien,Saguenay-Lac-Saint-Jean,"1036, chemin de la Montagne",3,2,,2,1228.16,23822.69
142,617900,"4045,00$","384,00$","1850,00$","435,00$",Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"201-1346, rue du Jardin",3,2,,2,1706.0,
143,896805,,,,,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),"., Rue Sallaberry",9,3,3,,,
144,325000,"2521,00$","220,00$","2300,00$","2300,00$",Charny,Québec Rive-Sud (Lévis),"6224, rue des Amarantes",4,2,1,1,936.0,8950.0
145,490000,"3105,00$","297,00$","2548,00$","1587,00$",Beauport,Québec Rive-Nord,"780, boulevard des Chutes",4,3,1,2,2175.0,6066.0
146,95000,,,,,Thurso,Outaouais,"123, rue Guy-Lafleur",,,,,,8461.51
148,598000,"1472,00$","193,00$",,,Compton,Estrie,"610, chemin Dubé",2,1,1,2,1700.0,133288.0
149,258000,"2012,40$","113,05$","2400,00$",,St-Paulin,Mauricie,"2791, rue Henri-Paul-Milot",2,2,,1,1120.0,18869.0
150,438000,"2800,00$","700,00$","2400,00$","400,00$",Baie-St-Paul,Charlevoix,"48, chemin du Cap-aux-Corbeaux Nord",3,2,,2,1408.0,189500.0
151,359000,"1578,32$","179,81$","500,00$","342,00$",Le Plateau-Mont-Royal,Montréal / l'Île,"2-5033, rue Berri",2,1,,1,726.56,
152,434900,"2469,00$","242,86$","1186,00$","448,00$",St-Jean-sur-Richelieu (St-Athanase),Montérégie (Rive-Sud Montréal),"101-115, rue Bella",3,1,1,1,1124.0,
153,334900,"2585,00$","156,36$","2400,00$","1116,00$",Trois-Rivières (St-Louis-De-France),Mauricie,"141, rue Babineau",3,1,1,1,1115.0,8000.0
154,345000,"2985,00$","440,00$","2150,00$","900,00$",Charlesbourg,Québec Rive-Nord,"7026, avenue Grignon",4,2,,1,1014.0,7215.0
155,749000,"3355,00$","494,00$","3400,00$","1217,00$",Ste-Julie,Montérégie (Rive-Sud Montréal),"2018, rue de Fontainebleau",6,2,,1,1054.0,7740.0
156,246000,"2180,72$","181,60$","1573,00$","1084,00$",St-Georges,Chaudière-Appalaches,"2072, 85e rue",2,2,1,2,1352.0,4740.0
157,182900,"1589,97$","116,87$","800,00$",,Alma,Saguenay-Lac-Saint-Jean,"1335, avenue Marguerite-D'Youville",3,1,,1,935.0275,25529.84
158,349000,"2964,05$","172,24$","3451,92$",,Paspebiac,Gaspésie-Îles-de-la-Madeleine,"95, rue Day",5,2,,1,1881.0,3825.0
160,390000,,,,,Morin-Heights,Laurentides,", rue des Huarts",,,,,,45000.0
161,485900,"3165,00$","287,00$","600,00$","300,00$",St-Jérôme (St-Jérôme),Laurentides,"203-140, rue Radisson",2,1,1,1,1360.0,30000.0
162,809900,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"311-360, rue Atateken - Le Solano Phase 8",2,2,,1,1016.0,
163,625000,,,,,St-Donat,Lanaudière,Condos Lac Archambault - Phase 4,5,2,,3,1996.0,
164,547800,,,,,Ste-Julie,Montérégie (Rive-Sud Montréal),"101-361, rue McDuff",2,2,,1,1280.0,
165,363000,,,,,Sherbrooke (Brompton),Estrie,"63, rue Gisèle-Trudeau- Par Les Entreprises Lachance",3,2,,1,884.0,3657.0
166,450000,"2458,34$","218,01$","2621,52$",,Drummondville (Drummondville),Centre-du-Québec,"2195, rue du Manoir",3,1,1,1,1107.0,8471.0
167,625000,"3818,87$","326,08$","3317,88$","1128,00$",Lavaltrie,Lanaudière,"42, rue des Epinettes",4,2,,2,2400.0,7200.0
168,689000,"620,00$","258,05$",,,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"255, rue Verreau",4,2,,1,1175.0,5900.0
169,349900,"2293,05$","172,22$","1237,51$","85,00$",St-Roch-De-Richelieu,Montérégie (Rive-Sud Montréal),"803, rue Richelieu",3,1,1,1,1180.0,2548.0
170,378500,"1360,00$","170,00$","550,00$","255,00$",Le Plateau-Mont-Royal,Montréal / l'Île,"4724B, rue Messier",1,1,1,3,518.0,
172,899999,,,,,St-Étienne-De-Bolton,Estrie,"157, chemin de la Serpentine",2,1,,1,1200.0,106378.65
173,435500,,,,,Beauport,Québec Rive-Nord,"263, Saint-Honoré",3,1,1,2,1350.0,16062.0
174,475000,,,,,Bowman,Outaouais,"9, chemin du Sommet - Par Laforest Habitat Durable",2,1,,1,1335.0,50342.0
175,225000,"1150,00$","90,00$",,,Orford,Estrie,"4997, chemin du Parc",1,1,,1,438.09,
176,1049000,"4680,00$","585,00$","2675,00$","950,00$",Ahuntsic / Cartierville,Montréal / l'Île,"10360, rue Tolhurst",4,2,,1,1300.0,2813.0
177,1500000,"12371,00$",,,,Victoriaville,Centre-du-Québec,"330, rue des Chalets",11,6,1,,,21358.83
178,759900,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"405-360, rue Atateken - Le Solano Phase 8",2,1,1,1,883.0,
179,225000,,,,,Waterloo,Estrie,", rue des Flandres",,,,,,12578.7
180,267000,"2200,00$","300,00$","1500,00$",,Val-Bélair,Québec Rive-Nord,"1264, rue de l'Etna",3,1,1,1,640.0,3229.0
181,795000,"3412,95$","424,35$","2825,00$",,La Prairie,Montérégie (Rive-Sud Montréal),"710, boulevard de la Magdeleine",4,2,1,2,1811.0,6000.0
182,445000,"906,26$","132,00$",,"670,00$",St-Pie,Montérégie (Rive-Sud Montréal),"1449, rang de la Rivière N",4,1,,2,576.0,130891.35780000001
184,339900,"1869,78$","108,82$","2018,59$",,Ste-Adèle,Laurentides,"24-255, rue Séraphin",3,1,1,2,1248.0,
185,495000,"3628,86$","160,05$","1390,00$","3120,00$",Gatineau (Hull),Outaouais,"35-35A-35B, rue Joffre",5,3,,,,5000.0
186,1399000,"5244,93$","658,84$",,,Ahuntsic / Cartierville,Montréal / l'Île,"44, boulevard Gouin O",5,3,1,2,2305.63,4085.98
187,168000,"1268,40$","80,21$",,"471,97$",Beaupré,Québec Rive-Nord,"10-351C, rue du Plateau",2,1,,1,,
188,339900,,,,,Lachute,Laurentides,de l'aeroparc - Modèle Pierre de lune 3 - Par Construction Briand,2,1,,1,810.0,5000.0
189,384999,"3080,00$","240,00$",,,Gatineau (Aylmer),Outaouais,"4-235, rue de Dublin",2,1,,3,1073.16,
190,215890,"2763,52$","86,66$",,,Stanstead,Estrie,"60-62-64, rue Railroad",7,3,,,,26144.46
191,500000,"4953,00$","473,00$",,,Venise-En-Quebec,Montérégie (Rive-Sud Montréal),"156, 50e rue Est",2,1,,2,1480.0,13742.0
192,685000,"3250,00$","576,69$","2712,20$","1714,00$",Prévost,Laurentides,"1020, rue du Monarque",3,2,1,2,1447.0,56723.66
193,619900,"2419,32$","403,05$","645,00$",,Carignan,Montérégie (Rive-Sud Montréal),"3-307, rue de l'Aigle",2,1,1,1,1346.0,
194,299000,"3185,00$","131,00$","2400,00$","1028,00$",Trois-Rivières (Cap-De-La-Madeleine),Mauricie,"211, rue Marie-Duteau",4,2,,1,884.0,4660.0
196,575000,"4420,25$","394,44$","2200,00$","1900,00$",Val-Des-Monts (Perkins),Outaouais,"30, rue Cédric",4,2,,,,43560.0
197,167500,"2333,80$","90,16$","1254,00$",,St-Jean-De-Dieu,Bas-Saint-Laurent,"8, rue de la Villa",5,2,,1,1200.0,5688.0
198,599000,"3620,00$","360,00$","1870,00$","1200,00$",Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"6000, boulevard Payer",4,1,1,1,1370.0,6024.0
199,265000,"1854,95$","95,74$","1524,84$","881,00$",Louiseville,Mauricie,"451, 2e Rue",3,1,1,1,1120.0,5999.8
200,355000,"2995,00$","230,00$","2627,00$",,Charny,Québec Rive-Sud (Lévis),"5104, avenue des Générations",3,1,1,2,1781.43,2171.5301999999997
201,325000,"3010,00$","226,00$","1135,00$","862,00$",St-Charles-De-Bellechasse,Chaudière-Appalaches,"257, avenue Gauthier",4,2,,1,1900.0,5855.57
202,49900,,,,,Petite-Rivière-St-François,Charlevoix,chemin de la Sainte-Monique,,,,,,47000.0
203,610000,"2639,35$","320,10$","600,00$",,L'Ile Des Soeurs,Montréal / l'Île,"407-201, chemin du Club-Marin",2,2,,1,1070.0,
204,550467,,,,,Chomedey,Laval,Le Market - unité 306,2,1,,1,1238.0,
205,635000,"6320,00$","371,00$",,,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,"5925, rue Bellefeuille",8,4,2,,,7750.0
206,449000,,,,"500,00$",St-Alexis-Des-Monts,Mauricie,"880, rue Fafard",2,1,,1,780.0,100000.0
208,329900,"1636,96$","160,84$","1200,00$",,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"110-1780, rue des Saphirs",2,1,1,3,1006.0,
